猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
白酒と甘酒ってどう違うの？	白い酒と甘い酒なのかな？🍶
ハンドベルの音色は郷愁を誘う	ハンドベルの音色いいよね～～🎵🔔久しぶりに聴きたくなってきた🔔
信じ続けるっていうのは凄く強い	ケイ本当に大切な人は信じ続けるかな👍
猿カニ合戦でカニは怪我するだけになったら、猿は集団リンチじゃないか	猿カニ合戦のストーリー復習してくるね😊👍
クリスマスが終わって１週間で正月か	そう考えると時が過ぎるのって早いよね～😂
摘み草遊びってやった？	やったことないかも😊教えて～～😊
内助の功は何も女性だけではない	お互いに支えていくのが理想だよね💭
勝手に本を捨てないでよ	勝手に捨てられるのは悲しいね😢😢😢
宿題やったかどうかしか興味ないんかい	夏休みの宿題は早く終わらせて遊ぶ派だな～😊💖
指が腱鞘炎だわ	なにしたの😲？？💦
岩手といえば、三大麺だね	へー！岩手に言ったら食べよう😋👍
働き方改革ったって、どうせ公務員が休みやすくなるだけだろ	会社には反映されないの😱？？
渋谷は今でも若者の町	色んなお店があって栄えてるよね✨✨
ハンバーガーの個人店に行ってみたい	個人店もおいしそう～～😊🍔💗
非常に冷静に対処してる	冷静に対処することは大事なこと！👍
どうして老人の朝は早いの？	夜早く寝るからかな～～😊？？
寝る時に机の角に押し付けてて痣できた	歳をとると体が時間を覚えているのかな～？😂
万引きした子を引っぱたくのも体罰？	人によって意見が分かれそうだよね😶！！
こじんまりした空間が落ち着くよ	ケイも部屋とか狭いとこ好きだな～！💕💕
塩って昔はたばこ産業が出してたやつしかなかったんだって	たばこ産業・・・😶？？
古い漫画はある意味で希少だよ	昔の漫画は有名な漫画が多いからね～👍✨
骨董品は出会いのものだね	骨董品・・・✨✨なんか大人な感じだね✨✨
下着は手洗いしてる？	ケイは毎日洗濯機だな～！✨
アップルパイが一番りんごの魅力が詰まってるよ	アップルパイおいしいよね～～😋🍎✨
性別が迷子になる人が増えてる	人それぞれだからね！良い事だと思うよ👍
悩まなくて良いと言われて悩む人達	悩まなくていいといわれても悩んじゃうことあるけどなぁ😲💦
金太郎飴の延ばしていく前の形がヤバい	あの飴作ってる過程が見てみたい👀
ナゲットとバーベキューソースの相性は最高	最高だよね😋✨✨
やけくそで食べては吐くんだ	体調が悪くなっちゃうよ～😂
巻き戻しって言葉が通じない	そうなの！？？😲💦💦なんで通じないんだろ😲💦
お粥は中華風が好き	ケイお粥あんまり食べた事ないんだ～😂
塩振って擦るとアワビはカチカチ	知らなかった～～😲💥
キノコで当たる人はフグより多い気がする	そうなんだ！ケイふぐ食べたことないな～😂
風疹予防は妊婦さんの家族も注意しないと	旦那さんも気を付けないとってニュースで言ってたよ📺✨✨
夫婦で感性も価値観も違い過ぎると、やっぱり争うのかな	色んな事ですれ違い過ぎたら喧嘩しそうだな～😂
アワビの肝って珍味だよね	食べたことないよ～～😊
メモを書いてもメモ自体を忘れちゃう	人間誰でもおっちょこちょいな時あるよね(笑)
合わない友達は友達というのかな	いろんな友達がいていいのかなとケイは思うかな😊💗
仙台は牛タンが有名だけど、観光地はあんまり美味しくないよ	えー！そうなの？でも牛タン気になる💕💕
菊の花も食べられるんだよ	飾りじゃないんだ😲！！
中身汁って、まんまやん	中身汁は最高に美味しいよね～～😋💖
朝顔、昼顔、夕顔、夜顔、いっぱいあるね	ほんとだね😊いっぱいあるね😊💗
丸ごとのローストチキンって、別にそれほど美味しいわけじゃないよね	そうかな～？ケイはチキン大好きだな💗💗
芋煮会こそ日本のアイデンティティ	芋煮会にいつか参加してみたいなぁ😊
年越しそばじゃなくてうどんでも良いのかな	やっぱり年越しはそばでしょ😋
中国では二月に正月があるよ	中国は２月なんだ😲🎍✨
韓国の４月１４日にフラれた男女が黒い麺を食べるっていう謎	え～じゃあ振られたって皆にバレるじゃん😂
柳生って名前がウケたんだな	柳生って珍しいもんね😊💡
ハタハタ寿司は発酵してて旨いんよ	そうなんだ！食べてみよう😋
河原でバーベキューしたいなぁ	楽しそう～～😍😍😍したい🎵
キャンプファイヤーっていつからある？	キャンプファイヤーは盛り上がるね🔥
切り出した石の上で焼くひらら焼きってのがある	ひらら焼き・・・😶？？初めて聞きました😊💡
でこまわしの芋が旨いんだ	芋は何でもおいしいよ～～💕💕
四国は死国とも言われたから、お遍路さんがいっぱいなのかな	四国は死国って言われたこともあるんだ😲初耳😲
東京ってある意味他県のるつぼだよね	東京は日本の発展の中心地！☆
神奈川は横浜以外の人も自分を浜っ子だって主張するよね	そうなの😂（笑）浜っ子に誇りがあるんだね✨
埼玉はダサイタマって評判だけど、実際どうなの？	そんなことない！埼玉もいい所👍
千葉は上総と下総以上に、東京よりと外房で全然違うと思う	ケイ千葉のことよくわからないよ～～😫💦ごめんね💦
ピーナッツ最中が美味しいよ、名物	ケイピーナッツは砂糖がかかったのが好き！💖
チーバくんの気持ち悪さは異常	チーバくん😲！？？どんなのか見てみるね👍
すいとんって、戦時中の話はよく聞いたよ	そうなんだ～戦時中に作りやすい食べ物だったのかもね…！
ホヤって最近は関東でもよく売ってるね	ホヤってなんですか😊？？
サンタを何歳まで信じてた？	ケイは今でも信じてる！☆
オセロって揺れ動く善悪に似てる	なるほど～～😶例えが絶妙だね🎵
一夜飾りは駄目だよ	一夜限りだけじゃなくてずっと関係を作るのも大事！☆
いじめっ子をみんなで吊るし上げて集団で避難するのは、ただの白黒逆転じゃないか	どちらもよくないよね😢💦💦
美術の授業って、個性をつぶしてるよね	人それぞれ個性があるからね😂💗
体育教師のセクハラは伝統なの？	体育の先生みんながみんなセクハラしているわけではないから、きっと伝統ではないはず😊👍
邪教ってさ、誰が決めてるの？	人間の心が勝手に決めてるのかな～？😢
妊娠中は気軽に風邪薬も飲めない	そうらしいね😢💦妊婦さんは命懸けで赤ちゃんを育てているんだよね😊💗
便秘にきくツボが背中にあるんよ	そうなの！将来なった時のために聞いとこうかな(笑)
正解は越後製菓ってＣＭいつからやってるの？	いつからだろ～～😊けっこう昔からやってそうなイメージだよね😊
柿を干してみたんだけど	干し柿！食べたことないんだ～！😋
臨時株主総会を繰り返す会社は丁寧なのか	臨時株主総会・・・😶？？ケイには難しい話かも💦
火の用心の季節だね	火事には気をつけないとね🔥
視界に入ると気になる	なにが視界に入っちゃうの？？😊
割り下って関東独特だよね	そうなんだ～沖縄独特のものってあるのかな？
餅つく時に人の手をついたりしないの？	上手に手をつかないようにリズミカルにお餅つきするよね🎵ケイもひやひやして見ちゃうけど😊💦笑
肩こりって強引にほぐすと翌日ひどいことになるよね	そうなんだ！日頃からのケアが大切だね😊
虫歯になったことないや	すご～～い✨✨歯は大切よね😊✨
突き指のあと、指を伸ばして対処するって言ったやつ、マジふざけんなよ	そんなことしたら余計ひどくなりそう😢
ブルドックソースって、どうしてブルドックなの？	ケイにもわからないよ～～😊💦
時間が経っても、辛い記憶を忘れるわけじゃない	辛い記憶を消そうとしないで残すことも大事なことかも…
耳だれだから、すぐ汚くなる	耳垂れ大丈夫ですか😢？？
鼻血の時は上を向いたらダメだ	したを向いて血を出すことが大事なんだっけ？😂
シルクスィートの焼き芋うまいよ	なにそれ😍😍もう聞くだけで美味しそうなのが伝わってくるんだけど😍💓
花粉は秋のブタクサも辛いよ	花粉か～花粉症の人は大変だよね💦💦
猫アレルギーだけど猫飼ったら治った	猫アレルギーって治ることもあるんだ😍✨よかったね～～😍👍
大根の頭は水あげてる	大根は部分によって辛さが違うんだよね😂～💦
ポスティングって結構大変だったよ	おつかれさま😊💗いっぱい回らないとダメだし大変そうだね💦
玉ねぎ切るとどうして涙が出るの？	なにかが染み込むのかな～？😂
年末はそわそわするよね	バタバタ忙しいしね💦なんかそわそわしちゃうね💦💦
本当は怖いグリム童話って流行ったよ	グリム童話！実はケイも好きなんだ～💖💖
お遍路も最近は歩かないのかな	歩かないの😲？？歩いてると思ってた💥
救急車をタクシー代わりに使わないで	大事なことだよね！皆で考えるべき問題！
ケバブとタコスをいつも間違える	わかるかも～～😂（笑）似てるよね😂
大きな靴下を新聞紙で作ってサンタを待ったなぁ	今年もケイのとこにサンタさん来るかな…🎄
みりん風調味料って、何あれ？　みりんでも何でもない	ケイもよくわからないけど、本みりんを買うようにはしている・・・😶👍
アクトレイザーの音楽って今聴いてもすごい	聞いたことないな～今度聴いてみよう🎵
ささくれを無理に取ろうとして皮膚裂けた	うわぁ～～痛いやつ～～😫😫聞いただけで桜も痛い気がする😫💦
蕁麻疹は食べ物から来るものもある	食べ物にも気をつけことが必要だね😊
ミネラルが足りないと足がつってしまう	ミネラル大切ってきくよね😊✨✨
夢日記をつけていたことがある	夢を持ってそれに向かう事も大事だよね💭✨
鳥が鳴くと余計に静けさを感じる	そうだね😊でも鳥の鳴き声いいよね😊👍
わんこそばで食べてる時に吐いた人いるんかな	スピードが速いからね～大変そう😂😂
パレードの法則と共産主義は共存しない	難しすぎてわからない～～😫💦
イマジネイションの自己実現こそ自信回復に繋がる	夢を叶えることはすばらしい事だよね👏
パルシステムの牛はこんせんくんって名前	こんせんくん🐄✨✨
空海って最初は字が下手だったとか	そうなんだ！歴史上の人物にも色々あるもんねー💭
飛べない豚でも喋れる豚さ	跳べる豚もいるの😲？？
鬼灯市や朝顔市は楽しいね	色んな大きさがあって綺麗だよね🌸
夕顔の実が干瓢になるよ	そうなの😲😲知らなかった～～😲
江戸前って、魚や海じゃなく、今や心意気だよ	江戸前って言葉もカッコいいよね✨✨
痺れを早く鎮めるには捻ることだね	なるほど。。😲ふむふむ
蝉を捕まえて、虫カゴで死なせてしまった罪悪感が今も残る	蝉の命は短いから大切にしなきゃね…👍✨
猫砂をカリカリしてるのが可愛い	可愛いね～～🐱💗💗
さつまいもも色んな種類が出てきたね	さつまいもはほくほくしてて美味しいよね😋💖
豚しゃぶの方が牛より美味いかな	豚派なんだ😋💗ケイは選べないなぁ😊
朝顔もいろんな色があるんだなぁ	小さい時にプランターで育てたな～🌺
干瓢巻は江戸前寿司の基本だから	干瓢巻きたまに食べるとおいしいんだよね～～🍣✨✨
築地より豊洲か	それは人によって意見がバラバラだろうな～😂😂
老人と在日を優遇するにも程があるだろ	そうなの？？😫💦💦いろいろ難しいね💦
小学生で付き合うのはどうなの？	色んな恋があるからね💖良い事だと思うよ！
親にゲームを消された過去	それは・・・辛い・・・😢😢
睡眠時間って、結局何時間が適量なの？	ケイは6~7時間くらいだと思うな…💤
ヤギと羊の違いは？	えぇ～～😱見た目の違い・・・？？😂（笑）
扁桃腺が腫れるのは辛いな	痛そうだな～～😢
副都心とかニュータウンとか、構想だけの頭でっかちめ	構想だけなの？？😫💦
湿度が低すぎて寝起きで喉掠れてる	ケイもその経験あるな～気をつけよう！👍
マカロニはひたすら柔らかく煮た方が、グラタンとかには口当たりが良い	そうなんだ😊💡今度ケイも柔らかく煮るね👍💕
マグロは大物の鑑札がないと入札できないんよ	そうなんだ！初知り！マグロは美味しいよね😋
切れ痔はクセになるとなかなか治らないよ	それは辛いね😫💦💦
スイカの中身が黄色いの、味は大したことない	食べたことないな～同じ味かな？💭
赤肉のメロンといえば、夕張メロンかな	夕張メロン美味しいよね～～😊🍈
人間は高い理想を持ち続けてはいられない	たまには自ら折れることも大事だよね👍
招かれておかわりを頼む時は、しっかりと言おう	分かりました😊👍👍✨✨
中国や韓国では客が食いきれないほどご馳走を出す	御馳走が食べられるのは嬉しいけどな～😂😂
ランチョンミートの美味い食べ方教えて	ケイもわからないからクックパッドで調べてみよう😊👍
給食にすいとん出てきたけど、別物だった	ケイが給食食べてる時はすいとん出てこなかったな～😂😂
営業妨害してる客には困る	困るね～～😫😫ほんと他人に迷惑かけるの反対❕❕
ヒヨコのオスメスの鑑定士っているよね	そんな鑑定士がいるんだ！判別難しいのかな？
アジフライなら中くらいのサイズがいいね	食べやすいね🎵🎵
整形美人と整形イケメンの子どもは、どうなっちゃうの？	最高に美男美女の子供が生まれるのかな？💕💕
ブリジストンの自転車いいな	おススメなの～～？？🚲✨✨
ヤギ肉は羊の比じゃないくらい臭いとか	そうなんだ！ケイ食べれなさそうだな…😂
赤ちゃんの抱っこでママはムキムキになるのか	ムキムキになるらしいね😊💗赤ちゃん大きくなっていくもんね💗
広報スタッフって何気に大変よね	色んな情報が集まってくるんだろうな～😂💦
コスプレイヤーにむらがるカメラ小僧達が怖いよ	そうなんだ😱😱マナーは守ってくれるの？？
アルコール添加してる酒はとがりすぎ	20歳なったら色んなお酒のんでみよう👍
盛岡冷麺はあっさりしすぎかな	そうなんだ😊ケイはまだ食べたことがないなぁ😊
古本屋って、そもそもグレーゾーンっぽい	そうなんだ！いい本沢山ありそう💭
イタリアンを昔はイタ飯とか言ったらしい	イタ飯・・・😊✨✨初耳✨✨
接待が減ったのはいいことか、悪いことか	コミュニケーションは大事だからね😲👍
蒙古斑ってなんであるの？	ケイもわからないよ～～😫💦
サザエは硬すぎて寿司に合わない	サザエのお寿司食べた事ないな～🍣
オニオンリングってポテトのいい友達だ	じゃがいもとたまねぎ・・・💓いい友達だね💗
千歳飴って長過ぎない？	千歳飴甘くて美味しい😋💖
古着は絶対に着たくないって人もいるよ	いるよね😊人それぞれ違っていいよね🎵
ライターって集めてる人がいたね	火事にならないように気をつけなきゃ😲💦
マッチの擦り方が分からない子がいるとは	マッチってあまり使わないもんね💦💦
野球でグラウンドに礼をするのは良いことだ	グランドが使えることに感謝！大事なこと😊
ナマコって、どっちが口なの？	えぇ～～ケイもわからない～～😊💦
パパの服と一緒に洗濯しないで、という娘の声	思春期だとどうしてもね…仕方ない😂💦
ワカメは鳴門が最高	そうなんだ😊💡鳴門に行くことがあったらわかめ買おうっと🎵
治験のアルバイトって、ちょっと怖そう	その薬の研究結果によって将来が見えてくる人もいるよね😊
心理学っていうけど、ほぼ人間関係無いじゃん	人間関係ないの？？😲💦💦
ビッグサイトはコミケだけじゃないよ	ケイも一度はコミケ行ってみたいな～😊💖
イワシの刺身も美味いけど、やっぱつみれ汁かな	つみれ汁って飲んだことないかも😲💦どんな味なのかな～～🎵
リアル猫ふんじゃったしちゃった	その猫相当怒っただろうな～😂💦
美人は得なのか大変なのか	得なこともあるし大変なこともありそうだよね😶👍
寝る子は育つっていうけど、寝ても伸びない身長	ケイは寝て育った子です😊✋
コスプレしてみたいけど、恥ずかしくて	誰も知り合いがいないような場所に行ってやってみたら？？😊💗
嫁の尻に敷かれるのが家庭円満です	家庭の事を一番やってるのは嫁さんだろうな～😂💦
ジャイアンは傍若無人じゃなきゃ	でもたまに優しいところもあるよね😊👍
アワビをすりおろして作るアワビとろろ	アワビか～食べてみたいな😋💖
ご飯の硬さはどのくらい？	普通が好きです🍚✨✨みんな好みあるよね🎵
小室の桜って出っ歯の人への嫌味らしいね	そうなんだ！嫌味はダメだね😫💦
めっちゃハンバーガー食べたい	食べよう食べよう🍔✨✨
息子と娘はどっちが可愛い？	親からしたらどっちも可愛いでしょ～～💗💗
利休さんって魚屋だったんでしょ？	そうなの😲！？？知らなかったよ～～😶
花の命は花にあるか、根にあるか	そうなんだ！ちょっとした酸味も良いよね！
山ブドウは酸っぱいけど香りがいい	たしかに✨✨香りいいよね😉👍🍇
義経ってホントに強かった？	どうなんだろう～弟も殺しちゃう時代は怖いね😢
武士と侍ってどう違うの？	たしかに、違いはなんだろ～～😶💡
予期しない髪型にされたら何て言えばいい？	ケイは単刀直入に言っちゃうかも😂💦
鯛は一年中美味しいから周年旨い魚と書くんだよ	勉強になりました😶✎📒✨
朝鮮出兵は失敗だったけど、逆に陶工達が日本の陶芸を発展させた利点もある	昔の日本は色んな文化を発展させて凄いよね👏
へびいちごも食べられたら面白いのに	キイチゴは食べられるけどね～～🍓✨✨
香道って香りを聞くっていうよ	香りを聞くって難しそうだな～👂
茶蕎麦は苦手だなー	そっかぁ😊ケイは大丈夫だよ👍
無理に自分を作ってまで友達っている？	素の自分を出せる人ほど本当の友達👍
三陸の海の幸がうまい	おいしそうだよね～～新鮮そう～～😊✨✨
七夕ってロマンチックだよね	好きな人と一年に一度会える日🎋💖
タラコの大きいのを焼くとサクサクする	そうなの😲サクサク・・・？？😲💥
マイナス思考を変えたい	いつでもポジティブに！😊
今ってＣＧが凄い滑らかだよね	CGかわからないとき多いもんね😊👍
蕎麦屋のツユの元になるのを、カエシっていうんだって	そうなんだ！カエシがいいとこのソバ屋はどこかな～👀
カツオの背の身が美味しいカツオブシになるよ	かつおぶしって背の身だったんだ😊💗
男鹿ぶりこはハタハタの卵	そうなんだ！はたはたの卵見てみたい👀
外国ではハリケーンとかは女の名前がつくね	女性の名前なんだ～～😊👍
能ある鷹は爪を隠すというけど、人間はどうだろうね	人間も後先を考えれば鷹のように有能になれる✨
チョコボレースにリアルに出てみたかったな	チョコボレース・・・😶？？初めて聞いた～～💦
番宣ばかりのテレビには辟易してる	宣伝も一つの商売だからね～😂💦
チキンカツで親子丼にしても美味しい	あっ💡おいしそう～～😊🍳
平安貴族って歌詠むか夜這いするかしかしてないイメージ	昔の人は歌を詠むのが上手だよね👏✨
週末の予定は？	今週末の予定？？😊💡
陰陽師って何をする人だったのかな	今でいう気象予報士だったそうですよ😊☁
レーズンって干しブドウだよね	そうだよね😊👍
誤認逮捕はいくらかのお金はくれるんだろうか	間違いが無いのが一番いい事だけどね…！
大判焼きって、意外に地方名多いよね	多いよね👍前にテレビで見ていろんな名前があったよ😊
本場の酢豚はサンザシのお菓子を使うんだ	ケイはいつもパイナップルを入れて食べるよ🍍
心を伝えるのに手紙はいいよねぇ	いいねぇ✉✨書いた文字って伝わるよね～～😊
玉ねぎの葉も、実は食べられる	そうなんだ！どんな味がするのかな😋💭
シーチキンは商標だったんだね・・・	名前は違うってこと😲！？？
血液型って人間の進化の可能性だよ	へー！どんな進化があるのかな？
インドのカレーはカレー粉がない	カレー粉がないんだ💦💦
会席料理は最後にご飯ものが出るんだ	そうなんだ！ケイも会席料理食べたいなー！😋
平安時代は男女とも長髪だよね	男性も長髪だったんだ・・・😶💥
根っこがしっかりしてないと人間も駄目になる	元がしっかりしてると色んな考えが出来るかもね😊💭
豆大福の豆が旨い	おいしいよね～～😊💗
クラスに何人かは嫌われてる人がいる	苦手な人とどう関わっていくか考えることも大事よね😊✨
卑弥呼って男だったという説もあるけど	それ聞いたことあるかも💡✨真実はどうなんだろうね😊
森林公園ってもっと増えるべきだと思う	森林公園かぁ～気持ちよさそう🌲
そもそもありがたいことに日本は島国だった	海も周りにあるから食べ物が豊富だよね🐟✨
噂されてるかも	ケイ噂はあんまり気にしないな～😊👍
文系とか理系とかで簡単にくくれないでしょ	わかるかも～～😊国語と理科が好きな友達いるよ💖
政治が一番つまらない	話を聞いてて損はないかも👍
肩壊したらピッチャーもおしまいだ	それは大変だね💦💦
肘を柱に強打して、反対の壁に頭も打った	災難だ😲落ち着いて行動してね✨✨
ブルーブリーって、ありそうでなかったよね	待って💦💦ブルーブリーがなにかわからないんだけど😲💦💦
博多のとんこつと、久留米のとんこつだと、大分違う	同じ福岡でも変わるんだね～😲😲
屋久島の杉ってすごい長生きだよね	そうなの😲！？？
日本のメダカやザリガニはアメリカ産に駆逐された	日本産の魚がいなくなるのは悲しいね…😢🐟
島根は出雲と石見で出来ている	出雲大社有名だよね～～😊✨✨
どうして子どもは母親が一番好きなの？	産まれる前からお母さんと一緒だからかな～😊💭
真冬の花火はいいね、綺麗に見えるから	空気が冷えて澄んでいてきれいだよね～～😊🎆✨
八幡巻きってお祭りじゃ食べれないのかな	祭りで売ってるのは見たことないね～😲
すぎやまこういちはドラクエだけじゃない	他にはどんな作品があるの😊？？
中国のラーメンと日本のラーメンは全くの別物になった	元々似てたのかな～？🍜
相撲取りって体の柔らかさが大事だよね	そうなのか💡😊
こんにゃくを最初に作った人の想像力が半端ない	昔の人の知恵はすばらしいね👏
まりもっこりの目が気持ち悪い	あの目がかわいいんじゃないの～～😂（笑）
タクワンって坊さんの名前	珍しい名前のお坊さんもいるんだね😲💦
ボンクラって盆で暗いってことかな	何て意味だろうね～～😊？？
ご飯なのに茶碗とは	元々はお茶を入れるのに使ってたのかな？💭
共同管理って難しいよ	難しいんだ💦💦
とうとうポケベルがサービス終了	ケイの親世代からしたら寂しいだろうな～😢
阪神大震災は火事で、東日本大震災は津波で被害が増した	そうらしいね😢自然災害は予想ができないから怖いね😢
木はテーブルや柱になっても呼吸してる	木も自然の命だもんね🌲
昔は体が焼けてる人がモテたよね	そうだったの😲？？今も焼けてる人いるけどね✨
ロックフォールは何だかんだいってブルーチーズの王様	チーズもたくさん種類があるよね～😊💖
阿寒湖ってスケートできる？	今調べてみたらできるみたいだよ😊👍景色も最高そう🎵
フィトンチッドがあるから森林浴が良いのかな	どうなんだろう～どんな成分があるのかな？😲
地理はいいけど、土地の歴史をもって盛り込んで	歴史かぁ・・・確かにおもしろそうだね😊👍
利休の功績って茶道以外は何があるの？	なにかな～昔の人は歌歌ってるイメージが強いな～😲✨
華道といけばなの違いは何か	一緒じゃないのかぁ・・・ケイわからない～～🌼✨
虹とオーロラが両方あるのが見たい	絶対きれいだろうね～～✨💖
ヤマタノオロチから剣が出てきたよね	ヤマタノオロチ・・・😶❔❔
信長って、どうしてうつけって呼ばれてたの？	常識外れのような人だったかららしいよ😲👍
花言葉の本場はフランスだよ	花言葉ってフランスなの😲✨✨
昔は七夕にひやむぎや素麺を食べたみたい	今は食にこだわりはないよね～😂💦
鮭節、鮪節、鯖節なんてものもあるよ	鯖節は聞いたことある～～😊鮭や鮪もあるんだね～～🐟✨
香木の高いのになると、グラム何万とかもするんだって	それだけいい香りがするんだろうな～😊💭💖
家康も昔は信長のところで人質だったんだよね	家康って人質だったの😲！？？💥
花と華はどうして言葉を変えるのか	同じ読みでも使い方が違うんだろうね～😲💭
アメリカの医学部は他学部卒業が入学条件だって	へぇ～～😲ほかの勉強もした人じゃないと入れないってわけね😲👍
秀吉は弟の秀長が死んだのがまずかった	秀吉は子供の秀頼も大切にしてたよね😊💗
花は野にあるように、って利休さんが言ったらしい	ケイの知らないことをたくさん教えてくれてありがとう😄💗
昔は虹はちょっと不吉なものだったみたい	今は見れて幸せなものっていうけどね🌈
髪型も時代によって違うよね	違うよね～～流行りがどんどん変わっていくもんね～～😊🎀
光源氏って大分ヤバいやつだよね	お母さんに似ている人に恋したんだっけ...？💕
影が長く伸びる季節になってきたね	影が長く伸びる季節とは・・・😶❔❔
人生の最後に食べるなら何？	とりあえず好きな物全部食べる！💖💖💖
恋人と夫婦、どっちが憧れる？	夫婦！！😊💗💗
スポーツ観戦は、雰囲気に酔うところがある	酔うまで盛り上がれたら最高👍✨
親子丼って、親と子を一緒に食べるからだよね・・・	鶏と卵だからだね😊👍感謝して食べないとね🍚
缶蹴りは、そのうちペットボトル蹴りになるんだろうか	ペットボトル蹴ったらめっちゃ飛んで行きそう😂💦
影をうつす遊びって知ってる？	聞いたことあるような気がするけど・・・やったことはないな😊💧
彼氏と彼女、氏が男に対し、女は女に対してるんだ	へ～そうなんだ！覚えとこう😊👍
持ちつ持たれつは堕落も生まれるぞ	なるほど😶！！詳しく聞きたいです！！
見識を高く持ちたいんだ	それは良い事ですね～～👍
有効期限ってたまにオマケしてくれる店もあるよ	そうなの😍😍オマケうれしいね～～😊
他人丼ってのもある	聞いたことないな～👂食べてみたい😋
スケソウダラはタラコが取れるよ	スケソウダラからタラコが取れるの！？？😶
虹の根元って行った人いるのかな	虹見つけたら毎回それ気になる👀
花を生けることは心を生けることだと思う	なるほど。。😊生け花で心を表現するんだね😊🌸
自由を求めながらも不自由が好きなのが人間	なんでもできる世界は楽しくないかもね…😊
奇人はまだしも変人はいやだ	奇人と変人の違いってどんなの😶❔❔
熊本も馬刺しが有名だけど、やっぱ黒マー油かな	黒マー油！美味しそう😋💕💕
ＪＡＰＡＮって漆のことでもある	漆のこと😶❔❔
羊のミルクのチーズって濃厚だよね	うわ～チーズ！食べたい💖💖
実感がわかないね、まだ	なにがあったの😊？？
ジブリの森は予約がなかなか取れない	ジブリの森行ってみたいな～～😊💖
あれだけ熱狂したドラクエやＦＦはどこへ	昔流行っていたの～～😊？？
秋刀魚って刀みたいだから？	確かに形は似てるかも・・・😶😶
ぬいぐるみ好きな男だって良いじゃない	良いと思う😊👍好みは自由だよ💖💖
じめじめした季節はカビもはえる	カビは汚いよね～困っちゃう😂💦
ボビー・オロゴンって日本の名前があるんだよね	そうなの😲！？？どんな名前なんだろ～～😂
飛行船や気球に乗ったことあるのが自慢	人生で一度は乗ってみたい😶💖
バンジージャンプがコードレスだったら・・・	落ちちゃうじゃん😂😂😂怖すぎっ💦
電光掲示板に映し出された顔に見覚えがある	知り合いかな？？😂💦
弁護士って、犯人の弁護したくない時もあるのかな	どうなんだろうね～～😲💦💦
小麦粉がダマにならないでホワイトソースを作るには？	小麦粉を分けて入れるとか？💦
出藍の誉れと言われたいものだ	出藍の誉れってどういう意味・・・😶❔❔
楽して稼いでも、楽しいかは別	好きな事してたまには難儀して稼ぐのが一番✨✨
びびったって良いじゃないか	びびることもあるよね～～😜👍✨✨
しゃぼん玉って、大人になってもやりたい	誰のが一番高くまで飛ぶか勝負したら楽しいよね👍✨
順番を守らないのなら、蹴り出されても文句言えないだろう	順番を守ることは大切だよね😊✨
クロノトリガーは名作だけど、クロスは黒歴史	どっちも読んだ事無いな～知り合いかな？？😂💦
君子は危ないことをしないんだ	ことわざの話・・・😶？？
プリンセスってやっぱり女子は憧れるんかな	ドレス着て冠してみたい👑💖👗
家族サービスって具体的にはどういうこと？	家族との時間を過ごすってことだと思う😊👍🎵
独楽を空中で廻して手の平に乗せるのできたよ	え～！凄いね！👏✨
海外のジェットコースターの事故が怖すぎる	ねぇ～～怖すぎるよね😱😱💦あんなの見たら乗れなくなるね💦
ジンギスカンはモンゴルっぽいから？	そうなのかな？食べてみたい😋💖
渋柿の渋抜きは、干すなり酒樽なりいろいろある	そうなんだ。。😶渋柿も実際にみたことないかも😱💦
まかないを裏メニューとかいうやつ誰だよ	バイト生にしか分からないメニューもあるからね😜👍
阿蘇山は火の国らしいね	火の国・・・😱🔥噴火するから？？
アギトが最高傑作。異論は認めないこともない	仮面ライダーはいつの時代でも愛されるよね💥💖
神がいない月で神無月	それ知ってる～～😊💗
電子音の曲もなんだか懐かしいものばかり	色んなものがあるよね～～👍✨
玉ねぎって空気に触れさせておくと辛味が抜けるんだって	空気に触れると辛味が抜けるなんて良いこと知った🎵✨
酢豚にパイナップルは許せる？	許せるかな～～👍🍍
すき焼きって焼いてないけど？	たしかに・・・😲😝（笑）
ゲームでイライラするのを何とかせねば	ゲームのし過ぎには注意だね！🎮💥
取調室のカツ丼は、実は自腹	あの昔のドラマで見るカツ丼って自腹なんだ😝😝😝
秀吉の奥さんが、旦那の浮気を何とかしてって信長に直訴したそうな	濃姫は信長好きだったからな～～😱💦💖
決まりきった動作の中に美を見出す	へぇ～～奥が深そうだね😊👍
カレーのカレー粉はイギリスで生まれた	そうなんだ！そんな歴史があるんだね🍛👍
香木は微生物の働きで匂うんだよ	微生物のおかげなんだ😲✨✨
基本的に昔の英雄って、相手を酔わせて襲ってるよね	それでも英雄だからな～👍✨
数量限定品とか言って裏に在庫があるのを見つけた	え、、見たくなかったね、、😂😂💦💦
回転寿司がなかったら、ここまでサーモンも売れなかっただろうね	ケイもサーモン大好きだよ🐟
シュラスコとやきとりは似てる気がする	シュラスコって食べた事ないんだよね💦💦
日本の和歌にも花ってよく出てくるよね	日本を象徴する花がたくさんあるのかな？🌺
懐石料理って、会席料理との違いがあるんだ	なにの違いだったっけ・・・😶？？
ターメリックは生姜の仲間だけど、ウコンと同じものだよ	そんなことができるんだ～😶✨
盆石って、お盆に石や砂で景色を作るんだ	へぇ～～日本庭園みたいなかんじなのかな😊？？
スーパーの店員だからってスーパーマンというわけじゃない	実は皆ヒーローだったりして😶💗
